lr-AdamW,step,valid/recon/sess0,valid/loss,valid/recon,valid/bps,valid/co_bps,valid/fp_bps,valid/r2,valid/wt_l2,valid/wt_l2/ramp,valid/wt_kl,valid/wt_kl/ic,valid/wt_kl/co,valid/wt_kl/ramp,valid/recon_smth,hp_metric,cur_epoch,hp/lr_init,hp/dropout_rate,hp/l2_ic_enc_scale,hp/l2_ci_enc_scale,hp/l2_gen_scale,hp/l2_con_scale,hp/kl_co_scale,hp/kl_ic_scale,hp/weight_decay,hp/cd_rate,train/pearson_r_epoch,valid/pearson_r_epoch,epoch,train/recon/sess0,train/loss,train/recon,train/bps,train/co_bps,train/fp_bps,train/r2,train/wt_l2,train/wt_l2/ramp,train/wt_kl,train/wt_kl/ic,train/wt_kl/co,train/wt_kl/ramp
,517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1.9799225330352783,19799.291015625,1.9799225330352783,0.02660868875682354,nan,nan,nan,0.0,0.08641970157623291,7.145140989450738e-05,2.4280134311993606e-05,4.717128103948198e-05,0.08641970157623291
0.004,518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,591,1.9750689268112183,19750.740234375,1.9750689268112183,0.030853968113660812,nan,nan,nan,0.0,0.09876541793346405,5.258609235170297e-05,9.39157234824961e-06,4.3194515455979854e-05,0.09876541793346405,1.96096670627594,1.9750689268112183,7.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,0.6361451148986816,0.6511070728302002,7,,,,,,,,,,,,,
,591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1.997039556503296,19970.462890625,1.997039556503296,0.019634762778878212,nan,nan,nan,0.0,0.09876538813114166,6.223532545845956e-05,1.6197818695218302e-05,4.603751585818827e-05,0.09876538813114166
0.004,592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,665,1.8899182081222534,18899.248046875,1.8899182081222534,0.06040509417653084,nan,nan,nan,0.0,0.11111114174127579,5.769458948634565e-05,1.195756885863375e-05,4.573702608468011e-05,0.11111114174127579,1.9112327098846436,1.8899182081222534,8.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,0.686573326587677,0.6642258763313293,8,,,,,,,,,,,,,
,665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1.99066162109375,19906.6953125,1.99066162109375,0.021538734436035156,nan,nan,nan,0.0,0.11111114174127579,6.685638072667643e-05,1.57816793944221e-05,5.107470497023314e-05,0.11111114174127579
0.004,666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,739,1.9650956392288208,19651.041015625,1.9650956392288208,0.034414444118738174,nan,nan,nan,0.0,0.12345679849386215,6.840463174739853e-05,2.0567535102600232e-05,4.783710392075591e-05,0.12345679849386215,1.9489368200302124,1.9650956392288208,9.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,0.5491349697113037,0.5974883437156677,9,,,,,,,,,,,,,
,739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1.9605450630187988,19605.541015625,1.9605450630187988,0.03163923695683479,nan,nan,nan,0.0,0.12345686554908752,8.065407018875703e-05,2.518374822102487e-05,5.547030741581693e-05,0.12345686554908752
0.004,740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,813,1.9138195514678955,19138.28125,1.9138195514678955,0.051802173256874084,nan,nan,nan,0.0,0.1358024775981903,6.239532376639545e-05,1.1443117728049401e-05,5.095220330986194e-05,0.1358024775981903,1.9243547916412354,1.9138195514678955,10.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,0.6385363936424255,0.6489040851593018,10,,,,,,,,,,,,,
,813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1.9457086324691772,19457.1953125,1.9457086324691772,0.03783801943063736,nan,nan,nan,0.0,0.13580235838890076,7.930313586257398e-05,2.3695427444181405e-05,5.560769932344556e-05,0.13580235838890076
0.004,814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,887,1.8911577463150024,18911.673828125,1.8911577463150024,0.05949532985687256,nan,nan,nan,0.0,0.14814814925193787,6.592776480829343e-05,1.271904693567194e-05,5.3208714234642684e-05,0.14814814925193787,1.9011168479919434,1.8911577463150024,11.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,0.6456194519996643,0.6587309837341309,11,,,,,,,,,,,,,
,887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1.9384140968322754,19384.251953125,1.9384140968322754,0.040018774569034576,nan,nan,nan,0.0,0.14814820885658264,7.77932073106058e-05,1.70868806890212e-05,6.0706312069669366e-05,0.14814820885658264
0.004,888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,961,1.8709704875946045,18709.830078125,1.8709704875946045,0.06660542637109756,nan,nan,nan,0.0,0.16049383580684662,7.829389505786821e-05,1.977532338059973e-05,5.851856985827908e-05,0.16049383580684662,1.880014419555664,1.8709704875946045,12.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,0.6593363881111145,0.6615865230560303,12,,,,,,,,,,,,,
,961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1.958771824836731,19587.853515625,1.958771824836731,0.03252824768424034,nan,nan,nan,0.0,0.16049383580684662,8.459508535452187e-05,1.7892894902615808e-05,6.670220318483189e-05,0.16049383580684662
0.004,962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1035,1.8571007251739502,18571.134765625,1.8571007251739502,0.07096606492996216,nan,nan,nan,0.0,0.1728394776582718,7.543578249169514e-05,1.5455179891432635e-05,5.998060805723071e-05,0.1728394776582718,1.8639748096466064,1.8571007251739502,13.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,0.7077462673187256,0.7080783843994141,13,,,,,,,,,,,,,
,1035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1.9187980890274048,19188.146484375,1.9187980890274048,0.04628358408808708,nan,nan,nan,0.0,0.17283940315246582,9.651861910242587e-05,2.9721046303166077e-05,6.679760554106906e-05,0.17283940315246582
0.004,1036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1109,1.890426754951477,18904.423828125,1.890426754951477,0.06055162474513054,nan,nan,nan,0.0,0.18518517911434174,8.48736017360352e-05,2.486453377059661e-05,6.000906432745978e-05,0.18518517911434174,1.882491111755371,1.890426754951477,14.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,0.7193248867988586,0.6887235641479492,14,,,,,,,,,,,,,
,1109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1.937660813331604,19376.798828125,1.937660813331604,0.03966338187456131,nan,nan,nan,0.0,0.18518520891666412,0.00010211835615336895,3.166044189129025e-05,7.045792153803632e-05,0.18518520891666412
0.004,1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1183,1.8978177309036255,18978.328125,1.8978177309036255,0.057785581797361374,nan,nan,nan,0.0,0.1975308358669281,7.629518222529441e-05,1.7424334146198817e-05,5.8870842622127384e-05,0.1975308358669281,1.8932197093963623,1.8978177309036255,15.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,0.7325923442840576,0.6801804304122925,15,,,,,,,,,,,,,
,1183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1.9440606832504272,19440.80859375,1.9440606832504272,0.03707451373338699,nan,nan,nan,0.0,0.19753077626228333,0.00010052500874735415,2.8219337764312513e-05,7.230564369820058e-05,0.19753077626228333
0.004,1184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1257,1.8638379573822021,18638.5234375,1.8638379573822021,0.0690067782998085,nan,nan,nan,0.0,0.20987653732299805,6.919827865203843e-05,9.158548891718965e-06,6.003972521284595e-05,0.20987653732299805,1.872652530670166,1.8638379573822021,16.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,0.6695457100868225,0.6520429849624634,16,,,,,,,,,,,,,
,1257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1.89142644405365,18914.44921875,1.89142644405365,0.05550285801291466,nan,nan,nan,0.0,0.20987676084041595,8.711370901437476e-05,1.8078291759593412e-05,6.903542816871777e-05,0.20987676084041595
0.004,1258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
